frame,time_s,ball_x,ball_y,ball_w,ball_h,cross_x,cross_y
1147,19.117,836.0,351.0,10.0,9.0,960,540
1148,19.133,837.0,351.0,10.0,9.0,960,540
1149,19.15,839.0,350.0,10.0,9.0,960,540
1150,19.167,842.0,349.0,10.0,9.0,960,540
1151,19.183,843.0,348.0,10.0,9.0,960,540
1152,19.2,844.0,348.0,10.0,9.0,960,540
1153,19.217,844.0,348.0,10.0,9.0,960,540
1154,19.233,844.0,348.0,10.0,9.0,960,540
1155,19.25,845.0,347.0,10.0,9.0,960,540
1156,19.267,844.0,348.0,10.0,9.0,960,540
1157,19.283,844.0,348.0,10.0,9.0,960,540
1158,19.3,844.0,348.0,10.0,9.0,960,540
1159,19.317,847.0,350.0,10.0,9.0,960,540
1160,19.333,851.0,356.0,10.0,9.0,960,540
1161,19.35,860.0,367.0,10.0,9.0,960,540
1162,19.367,,,,,960,540
1163,19.383,992.0,240.0,10.0,9.0,960,540
1164,19.4,998.0,251.0,10.0,9.0,960,540
1165,19.417,1006.0,264.0,10.0,9.0,960,540
1166,19.433,,,,,960,540
1167,19.45,1022.0,289.0,9.0,10.0,960,540
1168,19.467,1028.0,297.0,9.0,10.0,960,540
1169,19.483,1033.0,303.0,9.0,10.0,960,540
1170,19.5,1036.0,307.0,9.0,10.0,960,540
1171,19.517,1036.0,310.0,9.0,10.0,960,540
1172,19.533,1037.0,312.0,9.0,10.0,960,540
1173,19.55,1036.0,313.0,9.0,10.0,960,540
1174,19.567,1037.0,314.0,9.0,10.0,960,540
1175,19.583,1037.0,315.0,9.0,10.0,960,540
1176,19.6,1038.0,313.0,9.0,10.0,960,540
1177,19.617,1038.0,313.0,9.0,10.0,960,540
1178,19.633,1039.0,312.0,9.0,10.0,960,540
1179,19.65,1040.0,312.0,9.0,10.0,960,540
1180,19.667,1041.0,311.0,9.0,10.0,960,540
1181,19.683,1042.0,310.0,9.0,10.0,960,540
1182,19.7,1042.0,310.0,9.0,10.0,960,540
1183,19.717,1042.0,310.0,9.0,10.0,960,540
1184,19.733,1044.0,310.0,9.0,10.0,960,540
1185,19.75,1045.0,313.0,9.0,10.0,960,540
1186,19.767,1046.0,318.0,9.0,10.0,960,540
1187,19.783,1050.0,325.0,9.0,10.0,960,540
1188,19.8,1052.0,335.0,9.0,10.0,960,540
1189,19.817,1054.0,344.0,9.0,10.0,960,540
1190,19.833,1056.0,354.0,9.0,10.0,960,540
1191,19.85,1057.0,360.0,9.0,10.0,960,540
1192,19.867,1058.0,365.0,9.0,10.0,960,540
1193,19.883,1059.0,371.0,9.0,10.0,960,540
1194,19.9,1060.0,375.0,9.0,10.0,960,540
1195,19.917,1060.0,378.0,9.0,10.0,960,540
1196,19.933,1060.0,381.0,9.0,10.0,960,540
1197,19.95,1060.0,382.0,9.0,10.0,960,540
1198,19.967,1060.0,384.0,9.0,10.0,960,540
1199,19.983,1059.0,386.0,9.0,10.0,960,540
1200,20.0,1060.0,387.0,9.0,10.0,960,540
1201,20.017,1060.0,389.0,9.0,10.0,960,540
1202,20.033,1061.0,391.0,9.0,10.0,960,540
1203,20.05,1062.0,392.0,9.0,10.0,960,540
1204,20.067,1062.0,392.0,9.0,10.0,960,540
1205,20.083,1062.0,391.0,9.0,10.0,960,540
1206,20.1,1063.0,391.0,9.0,10.0,960,540
1207,20.117,1066.0,389.0,9.0,10.0,960,540
1208,20.133,1068.0,385.0,9.0,10.0,960,540
1209,20.15,1071.0,380.0,9.0,10.0,960,540
1210,20.167,1076.0,369.0,9.0,10.0,960,540
1211,20.183,1083.0,358.0,9.0,10.0,960,540
1212,20.2,1089.0,344.0,9.0,10.0,960,540
1213,20.217,,,,,960,540
1214,20.233,1060.0,341.0,9.0,10.0,960,540
1215,20.25,1070.0,328.0,9.0,10.0,960,540
1216,20.267,1077.0,319.0,9.0,10.0,960,540
1217,20.283,1082.0,310.0,9.0,10.0,960,540
1218,20.3,1086.0,305.0,9.0,10.0,960,540
1219,20.317,1087.0,302.0,9.0,10.0,960,540
1220,20.333,1089.0,301.0,9.0,10.0,960,540
1221,20.35,1090.0,301.0,9.0,10.0,960,540
1222,20.367,1089.0,301.0,9.0,10.0,960,540
